0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,255,111,15,15,15,15,31,111,111,31,15,15,15,15,111,255
1,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
2,47,20,2,2,2,2,5,20,20,5,2,2,2,2,20,47
3,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
4,47,20,2,2,2,2,5,20,20,5,2,2,2,2,20,47
5,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
6,31,13,1,1,1,1,3,13,13,3,1,1,1,1,13,31
7,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
8,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
9,31,13,1,1,1,1,3,13,13,3,1,1,1,1,13,31
10,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
11,47,20,2,2,2,2,5,20,20,5,2,2,2,2,20,47
12,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
13,47,20,2,2,2,2,5,20,20,5,2,2,2,2,20,47
14,15,6,0,0,0,0,1,6,6,1,0,0,0,0,6,15
15,255,111,15,15,15,15,31,111,111,31,15,15,15,15,111,255